Name,About,Affiliate,Affiliate Program,Category,NotionStack URL,Pricing,Profile,Tags,Title,Twitter,Website
Actions,A Simple Call-to-Action widget-maker for your Notion Pages,,,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/actions_profile.jpeg,"Embed, Surveys",# Actions: Boost Engagement with Customizable Call-to-Action Widgets,,https://www.actions.so/
Widgetbox,WidgetBox lets you create custom embeddable Notion Widgets that suit your template style.,,None,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Freemium,Notion%20Tools/box_widget_profile.png,"Buttons, Clock, Reactions",# WidgetBox: Create Custom Notion Widgets with Ease,,https://widgetbox.app/
"NotionForms: Create, Publish & Sync Forms in Notion",,https://notionforms.io/?via=notionstack,Approved,Forms (https://www.notion.so/Forms-70212723337c417d9004a13ca1e2762e?pvs=21),,Freemium,Notion%20Tools/notion_forms_profile.jpeg,Embed,"NotionForms: Create, Publish & Sync Forms in Notion",,
Vizion,Create and share custom Notion database views,,,,,,,Publish,# Vizion: Transform your Notion database in seconds,,https://vizion.so/
Indify,Level up your Notion docs with widgets,,,Widget (https://www.notion.so/Widget-f231d8a779d3487b96992729b2fce152?pvs=21),,Free,Notion%20Tools/indify_profile.jpeg,,# Indify: Boost Your Notion Docs with Widgets in Seconds,,https://indify.co/
Help Kit: Turn Your Notion Docs into a Knowledge Base,,,None,Publishing (https://www.notion.so/Publishing-2696885757e04fb884238fe646788097?pvs=21),https://notionstack.so/tools/help-kit,Paid,Notion%20Tools/helpkit_profile.png,"Documentation, Help Center",# Help Kit: Create a Self-Service Knowledge Base in Minutes,,
Notion backups,Easily back up and restore your Notion workspaces,,None,Utility (https://www.notion.so/Utility-1cc316cac8dd4b29a8ad13d8c68f6ce8?pvs=21),,Paid,Notion%20Tools/backup_profile.png,Backup,# Notion Backups: Secure your workspaces with ease,,https://notionbackups.com/
Notion Boost,Make Notion more productive and less distractive. Notion Boost is a lightweight extension to add extra features and tweaks to Notion,,,Productivity (https://www.notion.so/Productivity-a826603c12ec4c5db40e34133b03f3c4?pvs=21),,Free,Notion%20Tools/notion_boost_profile.jpeg,"Extension, Productivity",# Notion Boost: Supercharge your productivity,,
Chilipepper: Basic Notion Form Builder,,https://chilipepper.io/?ref=notionstack,None,Forms (https://www.notion.so/Forms-70212723337c417d9004a13ca1e2762e?pvs=21),,Freemium,Notion%20Tools/chilipepper_profile.png,Forms,Chilipepper: Streamline Your Data Collection in Notion,,
Notion Automations,Connect Notion with your App such a Notion calendar widget,https://notion-automations.firstpromoter.com/,,Productivity (https://www.notion.so/Productivity-a826603c12ec4c5db40e34133b03f3c4?pvs=21),,Free,Notion%20Tools/notion_automations_profile.png,Calendar,# Notion Automations: Automate Your Notion Tasks with Ease,,https://notion-automations.com/
