name,creator,price,rating,ratingCount,salesCount,type,subcategory,recommendation,affiliateRate,source,productUrl
"Starter Bundle","Easlo",0,9495,9495,,"template","bundle","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hUGAv"
"Notion Student Dashboard","Easlo Academy",0,4875,4875,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/tkfmcx"
"Daily, Weekly, Monthly Planners","Easlo Academy",0,4340,4340,,"template","planner","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/ulfur"
"Habit Tracker","Easlo",0,2594,2594,,"template","planner","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/DEnNV"
"Notion Student Planner","Easlo Academy",0,2554,2554,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/eyuci"
"Expense Tracker","Easlo",0,2151,2151,,"template","planner","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/ifrdj"
"Life OS: The Personalized Clarity Engine","Ayk Martirosyan",97,3,3,33294,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/858611923/tPKGJ"
"GPT o3-mini Mastery Course","Pascio",99,1648,1648,183,"course","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/dfnkka"
"Notion Money Manual","Pascio",0,1373,1373,,"course","productivity","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xdjfx"
"Notion Second Brain","Chris",0,1331,1331,828,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/ylqkn"
"Notion Second Brain","Chris",0,1331,1331,827,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ylqkn"
"50 Digital Product Ideas","Pascio",0,1258,1258,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/azull"
"Workout Tracker","Easlo",0,1247,1247,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xkeese"
"Minimalist Notion Habit Tracker","Chris",0,1015,1015,,"course","dashboard","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/376061651/iummy"
"Book Tracker","Easlo",0,987,987,,"course","tracker","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mzizp"
"Notion Beginner Bundle (15x Notion Templates)","Pascio",0,983,983,,"template","content","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xpdgr"
"Trading Dashboard","Tom",0,970,970,,"course","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/duebbg"
"150 GPT o3-mini prompts to make you a top 1% copywriter","Pascio",0,956,956,28,"course","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qwlcg"
"UI/UX Design Learning Roadmap","Rachel How",0,842,842,,"course","ai","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/klwzu"
"Resume Template","Easlo",0,842,842,,"template","template","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zzkXrq"
"12 Week Year Planner Notion Template","Tony David",0,829,829,,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/lwspgj"
"Travel Planner","Easlo",0,826,826,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nqtvy"
"The Side Hustler Checklist - Notion","Niharikaa Kaur Sodhi",0,826,826,,"course","finance","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nbbtz"
"The Action Tracker: Free Life Planner Notion Template","Visual Hustles",0,822,822,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/awsfpv"
"Notion Learning Roadmap","Easlo",0,801,801,,"course","student","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/TAdlY"
