name,creator,price,rating,ratingCount,salesCount,recommendation,affiliateRate,category,source,productUrl
"Starter Bundle","Easlo",0,9495,9495,,"RECOMMENDED","partner","template","gumroad_new","https://hUGAv"
"Open Peeps","Pablo Stanley and Team",0,9001,9001,,"RECOMMENDED","partner","template","gumroad_new","https://KyREP"
"Notion Student Dashboard","Easlo Academy",0,4875,4875,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://tkfmcx"
"Humaaans","Pablo Stanley and Team",0,4480,4480,,"RECOMMENDED","partner","template","gumroad_new","https://YenKa"
"Daily, Weekly, Monthly Planners","Easlo Academy",0,4340,4340,,"RECOMMENDED","partner","productivity","notionstack_matched","https://ulfur"
"Habit Tracker","Easlo",0,2594,2594,,"RECOMMENDED","partner","tracker","notionstack_matched","https://DEnNV"
"Notion Student Planner","Easlo Academy",0,2554,2554,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://eyuci"
"Expense Tracker","Easlo",0,2151,2151,,"RECOMMENDED","partner","personal finance","notionstack_matched","https://ifrdj"
"🎙️ MacWhisper","Jordi Bruin",0,1976,1976,333,"RECOMMENDED","partner","template","gumroad_new","https://ivpqk"
"Genshin Impact Presentation Template","D Story Presentation Templates",0,1743,1743,,"RECOMMENDED","partner","template","gumroad_new","https://bbmkfm"
"Life OS: The Personalized Clarity Engine","Ayk Martirosyan",97,3,3,33294,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/858611923/tPKGJ"
"GPT o3-mini Mastery Course","Pascio",99,1648,1648,183,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://dfnkka"
"2,500+ AI Chatbot Prompt Templates","TheVeller",0,1632,1632,,"RECOMMENDED","partner","template","gumroad_new","https://quomfo"
"Untitled UI Figma – Figma UI kit and design system","Untitled UI",129,1557,1557,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://NHefI"
"Notion Money Manual","Pascio",0,1373,1373,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://xdjfx"
"Notion Second Brain","Chris",0,1331,1331,827,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ylqkn"
"50 Digital Product Ideas","Pascio",0,1258,1258,,"RECOMMENDED","partner","template","gumroad_new","https://azull"
"Workout Tracker","Easlo",0,1247,1247,,"RECOMMENDED","partner","template","gumroad_new","https://xkeese"
"KDP Interior Margin Templates","Paul Marles",0,1220,1220,,"RECOMMENDED","partner","template","gumroad_new","https://RaWRi"
"1000+ ChatGpt Prompts","Alamin Hossain",0,1033,1033,292,"RECOMMENDED","partner","template","gumroad_new","https://bodvqo"
"GPT-4 Engineering Mastery 2.0","Valdo",0,995,995,893,"RECOMMENDED","partner","template","gumroad_new","https://xojrnh"
"Minimalist Notion Habit Tracker","Chris",0,1015,1015,,"HIGHLY RECOMMENDED","partner","tracker","notionstack_matched","https://gumroad.com/a/376061651/iummy"
"Book Tracker","Easlo",0,987,987,,"RECOMMENDED","partner","template","gumroad_new","https://mzizp"
"Notion Beginner Bundle (15x Notion Templates)","Pascio",0,983,983,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://xpdgr"
"Trading Dashboard","Tom",0,970,970,,"RECOMMENDED","partner","template","gumroad_new","https://duebbg"
"150 GPT o3-mini prompts to make you a top 1% copywriter","Pascio",0,956,956,28,"RECOMMENDED","partner","template","gumroad_new","https://qwlcg"
"UX Resources & Bookmarks","Simonas Maciulis",0,939,939,,"RECOMMENDED","partner","template","gumroad_new","https://wgvhte"
"UI/UX Design Learning Roadmap","Rachel How",0,842,842,,"RECOMMENDED","partner","design","notionstack_matched","https://klwzu"
"Resume Template","Easlo",0,842,842,,"RECOMMENDED","partner","template","gumroad_new","https://zzkXrq"
"12 Week Year Planner Notion Template","Tony David",0,829,829,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://lwspgj"
"Travel Planner","Easlo",0,826,826,,"RECOMMENDED","partner","template","gumroad_new","https://nqtvy"
"The Side Hustler Checklist - Notion","Niharikaa Kaur Sodhi",0,826,826,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://nbbtz"
"The Watercolor MaxPack - Brushes for Procreate","MaxPacks - Brushes for Procreate",25,820,820,,"RECOMMENDED","partner","template","gumroad_new","https://xzDl"
"The Action Tracker: Free Life Planner Notion Template","Visual Hustles",0,822,822,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://awsfpv"
